stage,date,pens,pens_home_score,pens_away_score,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,duels_won_home,duels_won_away,events_list,lineup_home,lineup_away
Final,11.07.2021,True,3,2,Italy,England,1,1,66%,34%,19,6,6,2,53%,47%,"[""{'event_team':'away','event_time':2','event_type':'Goal','action_player_1':'LukeShaw','action_player_2':'KieranTrippier'},{'event_team':'home','event_time':47','event_type':'Yellowcard','action_player_1':'NicoloBarella'},{'event_team':'home','event_time':54','event_type':'Substitution','action_player_1':'BryanCristante','action_player_2':'NicoloBarella'},{'event_team':'home','event_time':55','event_type':'Yellowcard','action_player_1':'LeonardoBonucci'},{'event_team':'home','event_time':55','event_type':'Substitution','action_player_1':'DomenicoBerardi','action_player_2':'CiroImmobile'},{'event_team':'home','event_time':67','event_type':'Goal','action_player_1':'LeonardoBonucci'},{'event_team':'away','event_time':70','event_type':'Substitution','action_player_1':'BukayoSaka','action_player_2':'KieranTrippier'},{'event_team':'away','event_time':74','event_type':'Substitution','action_player_1':'JordanHenderson','action_player_2':'DeclanRice'},{'event_team':'home','event_time':84','event_type':'Yellowcard','action_player_1':'LorenzoInsigne'},{'event_team':'home','event_time':86','event_type':'Substitution','action_player_1':'FedericoBernardeschi','action_player_2':'FedericoChiesa'},{'event_team':'home','event_time':96','event_type':'Yellowcard','action_player_1':'GiorgioChiellini'},{'event_team':'home','event_time':90','event_type':'Substitution','action_player_1':'AndreaBelotti','action_player_2':'LorenzoInsigne'},{'event_team':'home','event_time':96','event_type':'Substitution','action_player_1':'ManuelLocatelli','action_player_2':'MarcoVerratti'},{'event_team':'away','event_time':99','event_type':'Substitution','action_player_1':'JackGrealish','action_player_2':'MasonMount'},{'event_team':'away','event_time':106','event_type':'Yellowcard','action_player_1':'HarryMaguire'},{'event_team':'home','event_time':114','event_type':'Yellowcard','action_player_1':'Jorginho'},{'event_team':'home','event_time':118','event_type':'Substitution','action_player_1':'AlessandroFlorenzi','action_player_2':'Emerson'},{'event_team':'away','event_time':120','event_type':'Substitution','action_player_1':'MarcusRashford','action_player_2':'JordanHenderson'},{'event_team':'away','event_time':120','event_type':'Substitution','action_player_1':'JadonSancho','action_player_2':'KyleWalker'},{'event_team':'home','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'DomenicoBerardi'},{'event_team':'away','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'HarryKane'},{'event_team':'home','event_time':False,'event_type':'PK','event_result':'Missed','event_player':'AndreaBelotti'},{'event_team':'away','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'HarryMaguire'},{'event_team':'home','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'LeonardoBonucci'},{'event_team':'away','event_time':False,'event_type':'PK','event_result':'Missed','event_player':'MarcusRashford'},{'event_team':'home','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'FedericoBernardeschi'},{'event_team':'away','event_time':False,'event_type':'PK','event_result':'Missed','event_player':'JadonSancho'},{'event_team':'home','event_time':False,'event_type':'PK','event_result':'Missed','event_player':'Jorginho'},{'event_team':'away','event_time':False,'event_type':'PK','event_result':'Missed','event_player':'BukayoSaka'}""]","{'10': 'Insigne', '17': ' Immobile', '14': ' Chiesa', '6': ' Verratti', '8': ' Jorginho', '18': ' Barella', '13': ' Emerson', '3': ' Chiellini', '19': ' Bonucci', '2': ' Di Lorenzo', '21': ' Donnarumma'}","{'9': 'Kane', '19': ' Mount', '10': ' Sterling', '3': ' Shaw', '4': ' Rice', '14': ' Phillips', '12': ' Trippier', '6': ' Maguire', '5': ' Stones', '2': ' Walker', '1': ' Pickford'}"
Semis,07.07.2021,False,0,0,England,Denmark,2,1,59%,41%,20,6,10,3,50%,50%,"[""{'event_team':'away','event_time':30','event_type':'Goal','action_player_1':'MikkelDamsgaard'},{'event_team':'home','event_time':39','event_type':'Owngoal','action_player_1':'SimonKjaer','action_player_2':'Owngoal'},{'event_team':'home','event_time':49','event_type':'Yellowcard','action_player_1':'HarryMaguire'},{'event_team':'away','event_time':67','event_type':'Substitution','action_player_1':'DanielWass','action_player_2':'JensStrygerLarsen'},{'event_team':'away','event_time':67','event_type':'Substitution','action_player_1':'YussufPoulsen','action_player_2':'MikkelDamsgaard'},{'event_team':'away','event_time':67','event_type':'Substitution','action_player_1':'ChristianNrgaard','action_player_2':'KasperDolberg'},{'event_team':'home','event_time':69','event_type':'Substitution','action_player_1':'JackGrealish','action_player_2':'BukayoSaka'},{'event_team':'away','event_time':72','event_type':'Yellowcard','action_player_1':'DanielWass'},{'event_team':'away','event_time':79','event_type':'Substitution','action_player_1':'JoachimAndersen','action_player_2':'AndreasChristensen'},{'event_team':'away','event_time':88','event_type':'Substitution','action_player_1':'MathiasJensen','action_player_2':'ThomasDelaney'},{'event_team':'home','event_time':95','event_type':'Substitution','action_player_1':'JordanHenderson','action_player_2':'DeclanRice'},{'event_team':'home','event_time':95','event_type':'Substitution','action_player_1':'PhilipFoden','action_player_2':'MasonMount'},{'event_team':'home','event_time':104','event_type':'Goal','action_player_1':'HarryKane'},{'event_team':'away','event_time':105','event_type':'Substitution','action_player_1':'JonasWind','action_player_2':'JannikVestergaard'},{'event_team':'home','event_time':105','event_type':'Substitution','action_player_1':'KieranTrippier','action_player_2':'JackGrealish'}""]","{'9': 'Kane', '10': ' Sterling', '19': ' Mount', '25': ' Saka', '4': ' Rice', '14': ' Phillips', '3': ' Shaw', '6': ' Maguire', '5': ' Stones', '2': ' Walker', '1': ' Pickford'}","{'14': 'Krogh Damsgaard', '12': ' Dolberg', '9': ' Braithwaite', '5': ' Mæhle Pedersen', '8': ' Delaney', '23': ' Højbjerg', '17': ' Stryger Larsen', '3': ' Vestergaard', '4': ' Kjaer', '6': ' Christensen', '1': ' Schmeichel'}"
Semis,06.07.2021,True,4,2,Italy,Spain,1,1,29%,71%,7,16,4,5,49%,51%,"[""{'event_team':'away','event_time':51','event_type':'Yellowcard','action_player_1':'SergioBusquets'},{'event_team':'home','event_time':60','event_type':'Goal','action_player_1':'FedericoChiesa','action_player_2':'CiroImmobile'},{'event_team':'home','event_time':61','event_type':'Substitution','action_player_1':'DomenicoBerardi','action_player_2':'CiroImmobile'},{'event_team':'away','event_time':62','event_type':'Substitution','action_player_1':'AlvaroMorata','action_player_2':'FerranTorres'},{'event_team':'away','event_time':70','event_type':'Substitution','action_player_1':'GerardMoreno','action_player_2':'MikelOyarzabal'},{'event_team':'away','event_time':70','event_type':'Substitution','action_player_1':'Rodri','action_player_2':'Koke'},{'event_team':'home','event_time':74','event_type':'Substitution','action_player_1':'MatteoPessina','action_player_2':'MarcoVerratti'},{'event_team':'home','event_time':74','event_type':'Substitution','action_player_1':'RafaelToli','action_player_2':'Emerson'},{'event_team':'away','event_time':80','event_type':'Goal','action_player_1':'AlvaroMorata','action_player_2':'DanielOlmo'},{'event_team':'home','event_time':85','event_type':'Substitution','action_player_1':'ManuelLocatelli','action_player_2':'NicoloBarella'},{'event_team':'away','event_time':85','event_type':'Substitution','action_player_1':'MarcosLlorente','action_player_2':'CesarAzpilicueta'},{'event_team':'home','event_time':85','event_type':'Substitution','action_player_1':'AndreaBelotti','action_player_2':'LorenzoInsigne'},{'event_team':'home','event_time':97','event_type':'Yellowcard','action_player_1':'RafaelToli'},{'event_team':'away','event_time':105','event_type':'Substitution','action_player_1':'ThiagoAlcantara','action_player_2':'SergioBusquets'},{'event_team':'home','event_time':107','event_type':'Substitution','action_player_1':'FedericoBernardeschi','action_player_2':'FedericoChiesa'},{'event_team':'away','event_time':109','event_type':'Substitution','action_player_1':'PauTorres','action_player_2':'EricGarca'},{'event_team':'home','event_time':118','event_type':'Yellowcard','action_player_1':'LeonardoBonucci'},{'event_team':'home','event_time':False,'event_type':'PK','event_result':'Missed','event_player':'ManuelLocatelli'},{'event_team':'away','event_time':False,'event_type':'PK','event_result':'Missed','event_player':'DanielOlmo'},{'event_team':'home','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'AndreaBelotti'},{'event_team':'away','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'GerardMoreno'},{'event_team':'home','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'LeonardoBonucci'},{'event_team':'away','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'ThiagoAlcantara'},{'event_team':'home','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'FedericoBernardeschi'},{'event_team':'away','event_time':False,'event_type':'PK','event_result':'Missed','event_player':'AlvaroMorata'},{'event_team':'home','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'Jorginho'}""]","{'10': 'Insigne', '17': ' Immobile', '14': ' Chiesa', '6': ' Verratti', '8': ' Jorginho', '18': ' Barella', '13': ' Emerson', '3': ' Chiellini', '19': ' Bonucci', '2': ' Di Lorenzo', '21': ' Donnarumma'}","{'11': 'Torres', '19': ' Olmo Carvajal', '21': ' Oyarzabal', '26': ' González López', '5': ' Busquets', '8': ' Koke', '18': ' Alba', '24': ' Laporte', '12': ' García Martret', '2': ' Azpilicueta', '23': ' Simon'}"
Quarters,03.07.2021,False,0,0,Ukraine,England,0,4,48%,52%,7,10,2,6,42%,59%,"[""{'event_team':'away','event_time':4','event_type':'Goal','action_player_1':'HarryKane','action_player_2':'RaheemSterling'},{'event_team':'home','event_time':35','event_type':'Substitution','action_player_1':'ViktorTsygankov','action_player_2':'SerhiiKryvtsov'},{'event_team':'away','event_time':46','event_type':'Goal','action_player_1':'HarryMaguire','action_player_2':'LukeShaw'},{'event_team':'away','event_time':50','event_type':'Goal','action_player_1':'HarryKane','action_player_2':'LukeShaw'},{'event_team':'away','event_time':57','event_type':'Substitution','action_player_1':'JordanHenderson','action_player_2':'DeclanRice'},{'event_team':'away','event_time':63','event_type':'Goal','action_player_1':'JordanHenderson','action_player_2':'MasonMount'},{'event_team':'home','event_time':64','event_type':'Substitution','action_player_1':'YevhenMakarenko','action_player_2':'SerhiySydorchuk'},{'event_team':'away','event_time':65','event_type':'Substitution','action_player_1':'KieranTrippier','action_player_2':'LukeShaw'},{'event_team':'away','event_time':65','event_type':'Substitution','action_player_1':'MarcusRashford','action_player_2':'RaheemSterling'},{'event_team':'away','event_time':65','event_type':'Substitution','action_player_1':'JudeBellingham','action_player_2':'KalvinPhillips'},{'event_team':'away','event_time':73','event_type':'Substitution','action_player_1':'DominicCalvert-Lewin','action_player_2':'HarryKane'}""]","{'9': 'Yaremchuk', '7': ' Yarmolenko', '16': ' Mykolenko', '17': ' Zinchenko', '5': ' Sydorchuk', '10': ' Shaparenko', '21': ' Karavaev', '22': ' Matvienko', '4': ' Kryvtsov', '13': ' Zabarnyi', '1': ' Bushchan'}","{'9': 'Kane', '10': ' Sterling', '19': ' Mount', '17': ' Sancho', '4': ' Rice', '14': ' Phillips', '3': ' Shaw', '6': ' Maguire', '5': ' Stones', '2': ' Walker', '1': ' Pickford'}"
Quarters,03.07.2021,False,0,0,Czech Republic,Denmark,1,2,56%,44%,16,11,5,7,48%,52%,"[""{'event_team':'away','event_time':5','event_type':'Goal','action_player_1':'ThomasDelaney','action_player_2':'JensStrygerLarsen'},{'event_team':'away','event_time':42','event_type':'Goal','action_player_1':'KasperDolberg','action_player_2':'JoakimMhle'},{'event_team':'home','event_time':45','event_type':'Substitution','action_player_1':'JakubJankto','action_player_2':'TomHole'},{'event_team':'home','event_time':45','event_type':'Substitution','action_player_1':'MichaelKrmenk','action_player_2':'LukMasopust'},{'event_team':'home','event_time':49','event_type':'Goal','action_player_1':'PatrikSchick','action_player_2':'VladimrCoufal'},{'event_team':'away','event_time':59','event_type':'Substitution','action_player_1':'YussufPoulsen','action_player_2':'KasperDolberg'},{'event_team':'away','event_time':60','event_type':'Substitution','action_player_1':'ChristianNrgaard','action_player_2':'MikkelDamsgaard'},{'event_team':'home','event_time':65','event_type':'Substitution','action_player_1':'JakubBrabec','action_player_2':'Ondejelstka'},{'event_team':'away','event_time':70','event_type':'Substitution','action_player_1':'DanielWass','action_player_2':'JensStrygerLarsen'},{'event_team':'home','event_time':79','event_type':'Substitution','action_player_1':'MatjVydra','action_player_2':'PatrikSchick'},{'event_team':'home','event_time':79','event_type':'Substitution','action_player_1':'VladimirDarida','action_player_2':'Petrevk'},{'event_team':'away','event_time':81','event_type':'Substitution','action_player_1':'JoachimAndersen','action_player_2':'AndreasChristensen'},{'event_team':'away','event_time':81','event_type':'Substitution','action_player_1':'MathiasJensen','action_player_2':'ThomasDelaney'},{'event_team':'home','event_time':84','event_type':'Yellowcard','action_player_1':'MichaelKrmenk'},{'event_team':'home','event_time':86','event_type':'Yellowcard','action_player_1':'TomKalas'}""]","{'10': 'Schick', '13': ' Ševčík', '7': ' Barák', '12': ' Masopust', '15': ' Souček', '9': ' Holeš', '18': ' Bořil', '6': ' Kalas', '3': ' Čelůstka', '5': ' Coufal', '1': ' Vaclik'}","{'12': 'Dolberg', '9': ' Braithwaite', '14': ' Krogh Damsgaard', '5': ' Mæhle Pedersen', '8': ' Delaney', '23': ' Højbjerg', '17': ' Stryger Larsen', '3': ' Vestergaard', '4': ' Kjaer', '6': ' Christensen', '1': ' Schmeichel'}"
Quarters,02.07.2021,False,0,0,Belgium,Italy,1,2,46%,54%,10,14,4,3,58%,42%,"[""{'event_team':'away','event_time':13','event_type':'Disallowedgoal','action_player_1':'Disallowedgoal'},{'event_team':'away','event_time':20','event_type':'Yellowcard','action_player_1':'MarcoVerratti'},{'event_team':'home','event_time':21','event_type':'Yellowcard','action_player_1':'YouriTielemans'},{'event_team':'away','event_time':31','event_type':'Goal','action_player_1':'NicoloBarella','action_player_2':'MarcoVerratti'},{'event_team':'away','event_time':44','event_type':'Goal','action_player_1':'LorenzoInsigne','action_player_2':'NicoloBarella'},{'event_team':'home','event_time':47','event_type':'Penalty','action_player_1':'RomeluLukaku','action_player_2':'Penalty'},{'event_team':'home','event_time':69','event_type':'Substitution','action_player_1':'DriesMertens','action_player_2':'YouriTielemans'},{'event_team':'home','event_time':70','event_type':'Substitution','action_player_1':'NacerChadli','action_player_2':'ThomasMeunier'},{'event_team':'away','event_time':74','event_type':'Substitution','action_player_1':'BryanCristante','action_player_2':'MarcoVerratti'},{'event_team':'home','event_time':74','event_type':'Substitution','action_player_1':'DennisPraet','action_player_2':'NacerChadli'},{'event_team':'away','event_time':75','event_type':'Substitution','action_player_1':'AndreaBelotti','action_player_2':'CiroImmobile'},{'event_team':'away','event_time':79','event_type':'Substitution','action_player_1':'DomenicoBerardi','action_player_2':'LorenzoInsigne'},{'event_team':'away','event_time':80','event_type':'Substitution','action_player_1':'Emerson','action_player_2':'LeonardoSpinazzola'},{'event_team':'away','event_time':90','event_type':'Yellowcard','action_player_1':'DomenicoBerardi'},{'event_team':'away','event_time':91','event_type':'Substitution','action_player_1':'RafaelToli','action_player_2':'FedericoChiesa'}""]","{'9': 'Lukaku', '25': ' Doku', '7': ' De Bruyne', '16': ' Hazard', '6': ' Witsel', '8': ' Tielemans', '15': ' Meunier', '5': ' Vertonghen', '3': ' Vermaelen', '2': ' Alderweireld', '1': ' Courtois'}","{'10': 'Insigne', '17': ' Immobile', '14': ' Chiesa', '6': ' Verratti', '8': ' Jorginho', '18': ' Barella', '4': ' Spinazzola', '3': ' Chiellini', '19': ' Bonucci', '2': ' Di Lorenzo', '21': ' Donnarumma'}"
Quarters,02.07.2021,True,1,3,Switzerland,Spain,1,1,27%,73%,8,28,2,10,58%,42%,"[""{'event_team':'away','event_time':8','event_type':'Owngoal','action_player_1':'DenisZakaria','action_player_2':'Owngoal'},{'event_team':'home','event_time':23','event_type':'Substitution','action_player_1':'RubenVargas','action_player_2':'BreelEmbolo'},{'event_team':'away','event_time':45','event_type':'Substitution','action_player_1':'DanielOlmo','action_player_2':'PabloSarabia'},{'event_team':'away','event_time':54','event_type':'Substitution','action_player_1':'GerardMoreno','action_player_2':'AlvaroMorata'},{'event_team':'home','event_time':67','event_type':'Yellowcard','action_player_1':'SilvanWidmer'},{'event_team':'home','event_time':68','event_type':'Goal','action_player_1':'XherdanShaqiri','action_player_2':'RemoFreuler'},{'event_team':'home','event_time':77','event_type':'Redcard','action_player_1':'RemoFreuler'},{'event_team':'home','event_time':81','event_type':'Substitution','action_player_1':'DjibrilSow','action_player_2':'XherdanShaqiri'},{'event_team':'home','event_time':82','event_type':'Substitution','action_player_1':'MarioGavranovic','action_player_2':'HarisSeferovic'},{'event_team':'away','event_time':91','event_type':'Substitution','action_player_1':'MarcosLlorente','action_player_2':'Koke'},{'event_team':'home','event_time':92','event_type':'Substitution','action_player_1':'ChristianFassnacht','action_player_2':'StevenZuber'},{'event_team':'away','event_time':93','event_type':'Yellowcard','action_player_1':'AymericLaporte'},{'event_team':'away','event_time':90','event_type':'Substitution','action_player_1':'MikelOyarzabal','action_player_2':'FerranTorres'},{'event_team':'home','event_time':100','event_type':'Substitution','action_player_1':'FabianSchr','action_player_2':'DenisZakaria'},{'event_team':'home','event_time':100','event_type':'Substitution','action_player_1':'KevinMbabu','action_player_2':'SilvanWidmer'},{'event_team':'away','event_time':113','event_type':'Substitution','action_player_1':'ThiagoAlcantara','action_player_2':'PauTorres'},{'event_team':'away','event_time':119','event_type':'Substitution','action_player_1':'Rodri','action_player_2':'Pedri'},{'event_team':'home','event_time':121','event_type':'Yellowcard','action_player_1':'MarioGavranovic'},{'event_team':'away','event_time':False,'event_type':'PK','event_result':'Missed','event_player':'SergioBusquets'},{'event_team':'home','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'MarioGavranovic'},{'event_team':'away','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'DanielOlmo'},{'event_team':'home','event_time':False,'event_type':'PK','event_result':'Missed','event_player':'FabianSchr'},{'event_team':'away','event_time':False,'event_type':'PK','event_result':'Missed','event_player':'Rodri'},{'event_team':'home','event_time':False,'event_type':'PK','event_result':'Missed','event_player':'ManuelAkanji'},{'event_team':'away','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'GerardMoreno'},{'event_team':'home','event_time':False,'event_type':'PK','event_result':'Missed','event_player':'RubenVargas'},{'event_team':'away','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'MikelOyarzabal'}""]","{'9': 'Seferovic', '14': ' Zuber', '23': ' Shaqiri', '7': ' Embolo', '8': ' Freuler', '6': ' Zakaria', '13': ' Rodriguez', '5': ' Akanji', '4': ' Elvedi', '3': ' Widmer', '1': ' Sommer'}","{'22': 'Sarabia', '7': ' Morata', '11': ' Torres', '26': ' González López', '5': ' Busquets', '8': ' Koke', '18': ' Alba', '4': ' Torres', '24': ' Laporte', '2': ' Azpilicueta', '23': ' Simon'}"
Round of 16,29.06.2021,False,0,0,Sweden,Ukraine,1,2,45%,55%,13,15,3,4,48%,52%,"[""{'event_team':'away','event_time':27','event_type':'Goal','action_player_1':'OlexandrZinchenko','action_player_2':'AndriyYarmolenko'},{'event_team':'home','event_time':43','event_type':'Goal','action_player_1':'EmilForsberg','action_player_2':'AlexanderIsak'},{'event_team':'away','event_time':61','event_type':'Substitution','action_player_1':'RuslanMalinovskyi','action_player_2':'MykolaShaparenko'},{'event_team':'home','event_time':69','event_type':'Yellowcard','action_player_1':'DejanKulusevski'},{'event_team':'away','event_time':79','event_type':'Yellowcard','action_player_1':'AndriyYarmolenko'},{'event_team':'home','event_time':83','event_type':'Substitution','action_player_1':'PierreBengtsson','action_player_2':'LudwigAugustinsson'},{'event_team':'home','event_time':83','event_type':'Substitution','action_player_1':'EmilKrafth','action_player_2':'MikaelLustig'},{'event_team':'home','event_time':85','event_type':'Yellowcard','action_player_1':'EmilForsberg'},{'event_team':'away','event_time':90','event_type':'Substitution','action_player_1':'ArtemBesedin','action_player_2':'RomanYaremchuk'},{'event_team':'away','event_time':95','event_type':'Substitution','action_player_1':'YevhenMakarenko','action_player_2':'TarasStepanenko'},{'event_team':'home','event_time':97','event_type':'Substitution','action_player_1':'RobinQuaison','action_player_2':'DejanKulusevski'},{'event_team':'home','event_time':97','event_type':'Substitution','action_player_1':'MarcusBerg','action_player_2':'AlexanderIsak'},{'event_team':'home','event_time':97','event_type':'Substitution','action_player_1':'ViktorClaesson','action_player_2':'SebastianLarsson'},{'event_team':'home','event_time':99','event_type':'Redcard','action_player_1':'MarcusDanielsson'},{'event_team':'away','event_time':101','event_type':'Substitution','action_player_1':'ViktorTsygankov','action_player_2':'ArtemBesedin'},{'event_team':'home','event_time':101','event_type':'Substitution','action_player_1':'FilipHelander','action_player_2':'KristofferOlsson'},{'event_team':'away','event_time':105','event_type':'Substitution','action_player_1':'ArtemDovbyk','action_player_2':'AndriyYarmolenko'},{'event_team':'away','event_time':117','event_type':'Substitution','action_player_1':'RomanBezus','action_player_2':'SerhiySydorchuk'},{'event_team':'away','event_time':121','event_type':'Goal','action_player_1':'ArtemDovbyk','action_player_2':'OlexandrZinchenko'},{'event_team':'away','event_time':122','event_type':'Yellowcard','action_player_1':'ArtemDovbyk'}""]","{'11': 'Isak', '21': ' Kulusevski', '10': ' Forsberg', '8': ' Ekdal', '20': ' Olsson', '7': ' Larsson', '6': ' Augustinsson', '24': ' Danielsson', '3': ' Lindelof', '2': ' Lustig', '1': ' Olsen'}","{'9': 'Yaremchuk', '7': ' Yarmolenko', '17': ' Zinchenko', '10': ' Shaparenko', '6': ' Stepanenko', '5': ' Sydorchuk', '21': ' Karavaev', '22': ' Matvienko', '4': ' Kryvtsov', '13': ' Zabarnyi', '1': ' Bushchan'}"
Round of 16,29.06.2021,False,0,0,England,Germany,2,0,45%,55%,5,9,4,3,55%,45%,"[""{'event_team':'home','event_time':8','event_type':'Yellowcard','action_player_1':'DeclanRice'},{'event_team':'away','event_time':25','event_type':'Yellowcard','action_player_1':'MatthiasGinter'},{'event_team':'home','event_time':45','event_type':'Yellowcard','action_player_1':'KalvinPhillips'},{'event_team':'away','event_time':68','event_type':'Substitution','action_player_1':'SergeGnabry','action_player_2':'TimoWerner'},{'event_team':'home','event_time':69','event_type':'Substitution','action_player_1':'JackGrealish','action_player_2':'BukayoSaka'},{'event_team':'away','event_time':72','event_type':'Yellowcard','action_player_1':'RobinGosens'},{'event_team':'home','event_time':75','event_type':'Goal','action_player_1':'RaheemSterling','action_player_2':'LukeShaw'},{'event_team':'home','event_time':77','event_type':'Yellowcard','action_player_1':'HarryMaguire'},{'event_team':'home','event_time':86','event_type':'Goal','action_player_1':'HarryKane','action_player_2':'JackGrealish'},{'event_team':'away','event_time':87','event_type':'Substitution','action_player_1':'EmreCan','action_player_2':'MatthiasGinter'},{'event_team':'away','event_time':87','event_type':'Substitution','action_player_1':'LeroySane','action_player_2':'RobinGosens'},{'event_team':'home','event_time':88','event_type':'Substitution','action_player_1':'JordanHenderson','action_player_2':'DeclanRice'},{'event_team':'away','event_time':92','event_type':'Substitution','action_player_1':'JamalMusiala','action_player_2':'ThomasMller'}""]","{'10': 'Sterling', '9': ' Kane', '25': ' Saka', '3': ' Shaw', '4': ' Rice', '14': ' Phillips', '12': ' Trippier', '6': ' Maguire', '5': ' Stones', '2': ' Walker', '1': ' Pickford'}","{'11': 'Werner', '25': ' Müller', '7': ' Havertz', '20': ' Gosens', '18': ' Goretzka', '8': ' Kroos', '6': ' Kimmich', '2': ' Rüdiger', '5': ' Hummels', '4': ' Ginter', '1': ' Neuer'}"
Round of 16,28.06.2021,True,4,5,France,Switzerland,3,3,55%,45%,26,12,8,5,55%,45%,"[""{'event_team':'away','event_time':15','event_type':'Goal','action_player_1':'HarisSeferovic','action_player_2':'StevenZuber'},{'event_team':'home','event_time':30','event_type':'Yellowcard','action_player_1':'RaphaelVarane'},{'event_team':'away','event_time':32','event_type':'Yellowcard','action_player_1':'NicoElvedi'},{'event_team':'home','event_time':45','event_type':'Substitution','action_player_1':'KingsleyComan','action_player_2':'ClementLenglet'},{'event_team':'home','event_time':57','event_type':'Goal','action_player_1':'KarimBenzema','action_player_2':'KylianMbappe'},{'event_team':'home','event_time':59','event_type':'Goal','action_player_1':'KarimBenzema'},{'event_team':'away','event_time':62','event_type':'Yellowcard','action_player_1':'RicardoRodriguez'},{'event_team':'away','event_time':73','event_type':'Substitution','action_player_1':'MarioGavranovic','action_player_2':'XherdanShaqiri'},{'event_team':'away','event_time':73','event_type':'Substitution','action_player_1':'KevinMbabu','action_player_2':'SilvanWidmer'},{'event_team':'home','event_time':75','event_type':'Goal','action_player_1':'PaulPogba'},{'event_team':'away','event_time':76','event_type':'Yellowcard','action_player_1':'GranitXhaka'},{'event_team':'away','event_time':79','event_type':'Substitution','action_player_1':'ChristianFassnacht','action_player_2':'StevenZuber'},{'event_team':'away','event_time':79','event_type':'Substitution','action_player_1':'RubenVargas','action_player_2':'BreelEmbolo'},{'event_team':'away','event_time':81','event_type':'Goal','action_player_1':'HarisSeferovic','action_player_2':'KevinMbabu'},{'event_team':'away','event_time':87','event_type':'Substitution','action_player_1':'AdmirMehmedi','action_player_2':'RicardoRodriguez'},{'event_team':'home','event_time':88','event_type':'Yellowcard','action_player_1':'KingsleyComan'},{'event_team':'home','event_time':88','event_type':'Substitution','action_player_1':'MoussaSissoko','action_player_2':'AntoineGriezmann'},{'event_team':'away','event_time':90','event_type':'Goal','action_player_1':'MarioGavranovic','action_player_2':'GranitXhaka'},{'event_team':'home','event_time':91','event_type':'Yellowcard','action_player_1':'BenjaminPavard'},{'event_team':'home','event_time':94','event_type':'Substitution','action_player_1':'OlivierGiroud','action_player_2':'KarimBenzema'},{'event_team':'away','event_time':97','event_type':'Substitution','action_player_1':'FabianSchr','action_player_2':'HarisSeferovic'},{'event_team':'away','event_time':108','event_type':'Yellowcard','action_player_1':'ManuelAkanji'},{'event_team':'home','event_time':111','event_type':'Substitution','action_player_1':'MarcusThuram','action_player_2':'KingsleyComan'},{'event_team':'away','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'MarioGavranovic'},{'event_team':'home','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'PaulPogba'},{'event_team':'away','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'FabianSchr'},{'event_team':'home','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'OlivierGiroud'},{'event_team':'away','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'ManuelAkanji'},{'event_team':'home','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'MarcusThuram'},{'event_team':'away','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'RubenVargas'},{'event_team':'home','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'PresnelKimpembe'},{'event_team':'away','event_time':False,'event_type':'PK','event_result':'Goal','event_player':'AdmirMehmedi'},{'event_team':'home','event_time':False,'event_type':'PK','event_result':'Missed','event_player':'KylianMbappe'}""]","{'10': 'Mbappe', '19': ' Benzema', '14': ' Rabiot', '7': ' Griezmann', '13': ' Kanté', '6': ' Pogba', '2': ' Pavard', '3': ' Kimpembe', '5': ' Lenglet', '4': ' Varane', '1': ' Lloris'}","{'9': 'Seferovic', '7': ' Embolo', '23': ' Shaqiri', '14': ' Zuber', '10': ' Xhaka', '8': ' Freuler', '3': ' Widmer', '13': ' Rodriguez', '5': ' Akanji', '4': ' Elvedi', '1': ' Sommer'}"
